demographics_survey.caffeine_intake,1.0
demographics_survey.car_debt,1.0
demographics_survey.children_count,1.0
demographics_survey.credit_card_debt,1.0
demographics_survey.divoce_count,1.0
demographics_survey.education,1.0
demographics_survey.education_debt,1.0
demographics_survey.gambling_problem?,-1.0
demographics_survey.height(inches),1.0
demographics_survey.hispanic?,1.0
demographics_survey.home_status,1.0
demographics_survey.household_income(dollars),1.0
demographics_survey.longest_relationship(months),1.0
demographics_survey.mortage_debt,1.0
demographics_survey.mturk_motivation,1.0
demographics_survey.other_motivation,1.0
demographics_survey.other_sources_of_debt,1.0
demographics_survey.percent_retirement_in_stock,1.0
demographics_survey.race,1.0
demographics_survey.relationship_count,1.0
demographics_survey.relationship_status,1.0
demographics_survey.retirement_account?,1.0
demographics_survey.sex,1.0
demographics_survey.traffic_accident_count,-1.0
demographics_survey.traffic_ticket_count,-1.0
demographics_survey.weight(pounds),1.0
dickman_survey.dysfunctional,-1.0
dickman_survey.functional,1.0
dietary_decision.health_sensitivity,1.0
dietary_decision.log_ll,1.0
dietary_decision.num_trials,1.0
dietary_decision.prop_healthy_choice,1.0
dietary_decision.taste_sensitivity,-1.0
digit_span.forward_span,1.0
digit_span.reverse_span,1.0
directed_forgetting.EZ_drift,1.0
directed_forgetting.EZ_drift_con,1.0
directed_forgetting.EZ_drift_neg,1.0
directed_forgetting.EZ_drift_pos,1.0
directed_forgetting.EZ_non_decision,-1.0
directed_forgetting.EZ_non_decision_con,-1.0
directed_forgetting.EZ_non_decision_neg,-1.0
directed_forgetting.EZ_non_decision_pos,-1.0
directed_forgetting.EZ_thresh,1.0
directed_forgetting.EZ_thresh_con,1.0
directed_forgetting.EZ_thresh_neg,1.0
directed_forgetting.EZ_thresh_pos,1.0
directed_forgetting.acc,1.0
directed_forgetting.avg_rt,-1.0
directed_forgetting.avg_rt_error,1.0
directed_forgetting.hddm_drift,1.0
directed_forgetting.hddm_drift_con,1.0
directed_forgetting.hddm_drift_neg,1.0
directed_forgetting.hddm_drift_pos,1.0
directed_forgetting.hddm_non_decision,1.0
directed_forgetting.hddm_thresh,1.0
directed_forgetting.missed_percent,-1.0
directed_forgetting.post_error_slowing,1.0
directed_forgetting.proactive_interference_EZ_drift,1.0
directed_forgetting.proactive_interference_EZ_non_decision,1.0
directed_forgetting.proactive_interference_EZ_thresh,1.0
directed_forgetting.proactive_interference_acc,1.0
directed_forgetting.proactive_interference_hddm_drift,1.0
directed_forgetting.proactive_interference_rt,-1.0
directed_forgetting.std_rt,1.0
directed_forgetting.std_rt_error,1.0
discount_titrate.hyp_discount_rate_glm,-1.0
discount_titrate.hyp_discount_rate_glm_notnow,-1.0
discount_titrate.hyp_discount_rate_glm_now,-1.0
discount_titrate.hyp_discount_rate_nm,-1.0
discount_titrate.hyp_discount_rate_nm_notnow,-1.0
discount_titrate.hyp_discount_rate_nm_now,-1.0
discount_titrate.log_ll_glm,-1.0
discount_titrate.log_ll_glm_notnow,-1.0
discount_titrate.log_ll_glm_now,-1.0
discount_titrate.neg_log_ll_nm,-1.0
discount_titrate.neg_log_ll_nm_notnow,-1.0
discount_titrate.neg_log_ll_nm_now,1.0
discount_titrate.num_trials_glm,1.0
discount_titrate.num_trials_glm_notnow,1.0
discount_titrate.num_trials_glm_now,1.0
discount_titrate.num_trials_nm,1.0
discount_titrate.num_trials_nm_notnow,1.0
discount_titrate.num_trials_nm_now,1.0
discount_titrate.percent_patient,1.0
discount_titrate.warnings,1.0
dospert_eb_survey.ethical,1.0
dospert_eb_survey.financial,1.0
dospert_eb_survey.health_safety,1.0
dospert_eb_survey.recreational,1.0
dospert_eb_survey.social,1.0
dospert_rp_survey.ethical,1.0
dospert_rp_survey.financial,1.0
dospert_rp_survey.health_safety,1.0
dospert_rp_survey.recreational,1.0
dospert_rp_survey.social,1.0
dospert_rt_survey.ethical,1.0
dospert_rt_survey.financial,1.0
dospert_rt_survey.health_safety,1.0
dospert_rt_survey.recreational,1.0
dospert_rt_survey.social,1.0
dot_pattern_expectancy.AX_errors,-1.0
dot_pattern_expectancy.AX_rt,1.0
dot_pattern_expectancy.AY-BY_EZ_drift,1.0
dot_pattern_expectancy.AY-BY_EZ_non_decision,1.0
dot_pattern_expectancy.AY-BY_EZ_thresh,1.0
dot_pattern_expectancy.AY-BY_acc,1.0
dot_pattern_expectancy.AY-BY_hddm_drift,1.0
dot_pattern_expectancy.AY-BY_rt,1.0
dot_pattern_expectancy.AY_errors,-1.0
dot_pattern_expectancy.AY_rt,1.0
dot_pattern_expectancy.BX-BY_EZ_drift,1.0
dot_pattern_expectancy.BX-BY_EZ_non_decision,1.0
dot_pattern_expectancy.BX-BY_EZ_thresh,1.0
dot_pattern_expectancy.BX-BY_acc,1.0
dot_pattern_expectancy.BX-BY_hddm_drift,1.0
dot_pattern_expectancy.BX-BY_rt,1.0
dot_pattern_expectancy.BX_errors,-1.0
dot_pattern_expectancy.BX_rt,1.0
dot_pattern_expectancy.BY_errors,-1.0
dot_pattern_expectancy.BY_rt,1.0
dot_pattern_expectancy.EZ_drift,1.0
dot_pattern_expectancy.EZ_drift_AX,1.0
dot_pattern_expectancy.EZ_drift_AY,1.0
dot_pattern_expectancy.EZ_drift_BX,1.0
dot_pattern_expectancy.EZ_drift_BY,1.0
dot_pattern_expectancy.EZ_non_decision,-1.0
dot_pattern_expectancy.EZ_non_decision_AX,-1.0
dot_pattern_expectancy.EZ_non_decision_AY,-1.0
dot_pattern_expectancy.EZ_non_decision_BX,-1.0
dot_pattern_expectancy.EZ_non_decision_BY,-1.0
dot_pattern_expectancy.EZ_thresh,1.0
dot_pattern_expectancy.EZ_thresh_AX,1.0
dot_pattern_expectancy.EZ_thresh_AY,1.0
dot_pattern_expectancy.EZ_thresh_BX,1.0
dot_pattern_expectancy.EZ_thresh_BY,1.0
dot_pattern_expectancy.acc,1.0
dot_pattern_expectancy.avg_rt,-1.0
dot_pattern_expectancy.avg_rt_error,1.0
dot_pattern_expectancy.bias,1.0
dot_pattern_expectancy.dprime,1.0
dot_pattern_expectancy.hddm_drift,1.0
dot_pattern_expectancy.hddm_drift_AX,1.0
dot_pattern_expectancy.hddm_drift_AY,1.0
dot_pattern_expectancy.hddm_drift_BX,1.0
dot_pattern_expectancy.hddm_drift_BY,1.0
dot_pattern_expectancy.hddm_non_decision,1.0
dot_pattern_expectancy.hddm_thresh,1.0
dot_pattern_expectancy.missed_percent,-1.0
dot_pattern_expectancy.post_error_slowing,1.0
dot_pattern_expectancy.std_rt,1.0
dot_pattern_expectancy.std_rt_error,1.0
eating_survey.cognitive_restraint,1.0
eating_survey.emotional_eating,-1.0
eating_survey.total,1.0
eating_survey.uncontrolled_eating,-1.0
erq_survey.reappraisal,1.0
erq_survey.suppression,1.0
five_facet_mindfulness_survey.act_with_awareness,1.0
five_facet_mindfulness_survey.describe,1.0
five_facet_mindfulness_survey.nonjudge,1.0
five_facet_mindfulness_survey.nonreact,1.0
five_facet_mindfulness_survey.observe,1.0
five_facet_mindfulness_survey.total,1.0
future_time_perspective_survey.future_time_perspective,1.0
go_nogo.acc,1.0
go_nogo.bias,1.0
go_nogo.commission_errors,-1.0
go_nogo.dprime,1.0
go_nogo.go_acc,1.0
go_nogo.go_rt,1.0
go_nogo.nogo_acc,1.0
go_nogo.omission_errors,-1.0
grit_scale_survey.grit,1.0
hierarchical_rule.acc,1.0
hierarchical_rule.avg_rt,-1.0
hierarchical_rule.avg_rt_error,1.0
hierarchical_rule.missed_percent,-1.0
hierarchical_rule.post_error_slowing,1.0
hierarchical_rule.score,1.0
hierarchical_rule.std_rt,1.0
hierarchical_rule.std_rt_error,1.0
holt_laury_survey.beta,1.0
holt_laury_survey.neg_log_ll,1.0
holt_laury_survey.number_of_switches,1.0
holt_laury_survey.prob_weighting,-1.0
holt_laury_survey.risk_aversion,-1.0
holt_laury_survey.risky_choices,1.0
holt_laury_survey.safe_choices,1.0
holt_laury_survey.warnings,1.0
impulsive_venture_survey.impulsiveness,-1.0
impulsive_venture_survey.venturesomeness,1.0
information_sampling_task.Decreasing_Win_P_correct,1.0
information_sampling_task.Decreasing_Win_acc,1.0
information_sampling_task.Decreasing_Win_boxes_opened,1.0
information_sampling_task.Decreasing_Win_motivation,1.0
information_sampling_task.Decreasing_Win_total_points,1.0
information_sampling_task.Fixed_Win_P_correct,1.0
information_sampling_task.Fixed_Win_acc,1.0
information_sampling_task.Fixed_Win_boxes_opened,1.0
information_sampling_task.Fixed_Win_motivation,1.0
information_sampling_task.Fixed_Win_total_points,1.0
keep_track.score,1.0
kirby.exp_discount_rate,-1.0
kirby.exp_discount_rate_large,-1.0
kirby.exp_discount_rate_medium,-1.0
kirby.exp_discount_rate_small,-1.0
kirby.exp_match_pct,-1.0
kirby.exp_match_pct_large,-1.0
kirby.exp_match_pct_medium,-1.0
kirby.exp_match_pct_small,-1.0
kirby.hyp_discount_rate,-1.0
kirby.hyp_discount_rate_large,-1.0
kirby.hyp_discount_rate_medium,-1.0
kirby.hyp_discount_rate_small,-1.0
kirby.hyp_match_pct,-1.0
kirby.hyp_match_pct_large,-1.0
kirby.hyp_match_pct_medium,-1.0
kirby.hyp_match_pct_small,-1.0
kirby.percent_patient,1.0
kirby.percent_patient_large,1.0
kirby.percent_patient_medium,1.0
kirby.percent_patient_small,1.0
kirby.warnings,1.0
leisure_time_activity_survey.activity_level,1.0
local_global_letter.EZ_drift,1.0
local_global_letter.EZ_drift_congruent,1.0
local_global_letter.EZ_drift_incongruent,1.0
local_global_letter.EZ_drift_neutral,1.0
local_global_letter.EZ_drift_stay,1.0
local_global_letter.EZ_drift_switch,1.0
local_global_letter.EZ_non_decision,-1.0
local_global_letter.EZ_non_decision_congruent,-1.0
local_global_letter.EZ_non_decision_incongruent,-1.0
local_global_letter.EZ_non_decision_neutral,-1.0
local_global_letter.EZ_non_decision_stay,-1.0
local_global_letter.EZ_non_decision_switch,-1.0
local_global_letter.EZ_thresh,1.0
local_global_letter.EZ_thresh_congruent,1.0
local_global_letter.EZ_thresh_incongruent,1.0
local_global_letter.EZ_thresh_neutral,1.0
local_global_letter.EZ_thresh_stay,1.0
local_global_letter.EZ_thresh_switch,1.0
local_global_letter.acc,1.0
local_global_letter.avg_rt,-1.0
local_global_letter.avg_rt_error,1.0
local_global_letter.conflict_EZ_drift,1.0
local_global_letter.conflict_EZ_non_decision,1.0
local_global_letter.conflict_EZ_thresh,1.0
local_global_letter.conflict_acc,1.0
local_global_letter.conflict_hddm_drift,1.0
local_global_letter.conflict_rt,-1.0
local_global_letter.congruency_seq_acc,1.0
local_global_letter.congruency_seq_rt,1.0
local_global_letter.congruent_facilitation_acc,1.0
local_global_letter.congruent_facilitation_rt,-1.0
local_global_letter.congruent_rt,-1.0
local_global_letter.global_bias_hddm_drift,1.0
local_global_letter.global_conflict_rt,-1.0
local_global_letter.global_congruent_errors,-1.0
local_global_letter.global_congruent_rt,-1.0
local_global_letter.global_error_cost,1.0
local_global_letter.global_incongruent_errors,-1.0
local_global_letter.global_incongruent_rt,-1.0
local_global_letter.hddm_drift,1.0
local_global_letter.hddm_drift_congruent,1.0
local_global_letter.hddm_drift_global,1.0
local_global_letter.hddm_drift_incongruent,1.0
local_global_letter.hddm_drift_local,1.0
local_global_letter.hddm_drift_neutral,1.0
local_global_letter.hddm_drift_stay,1.0
local_global_letter.hddm_drift_switch,1.0
local_global_letter.hddm_non_decision,1.0
local_global_letter.hddm_thresh,1.0
local_global_letter.incongruent_harm_acc,1.0
local_global_letter.incongruent_harm_rt,-1.0
local_global_letter.incongruent_rt,-1.0
local_global_letter.local_conflict_rt,-1.0
local_global_letter.local_congruent_errors,-1.0
local_global_letter.local_congruent_rt,-1.0
local_global_letter.local_error_cost,-1.0
local_global_letter.local_incongruent_errors,-1.0
local_global_letter.local_incongruent_rt,-1.0
local_global_letter.missed_percent,-1.0
local_global_letter.post_error_slowing,1.0
local_global_letter.std_rt,1.0
local_global_letter.std_rt_error,1.0
local_global_letter.switch_cost_EZ_drift,1.0
local_global_letter.switch_cost_EZ_non_decision,1.0
local_global_letter.switch_cost_EZ_thresh,1.0
local_global_letter.switch_cost_acc,1.0
local_global_letter.switch_cost_hddm_drift,1.0
local_global_letter.switch_cost_rt,-1.0
mindful_attention_awareness_survey.mindfulness,1.0
motor_selective_stop_signal.EZ_drift,1.0
motor_selective_stop_signal.EZ_non_decision,-1.0
motor_selective_stop_signal.EZ_thresh,1.0
motor_selective_stop_signal.SSRT,-1.0
motor_selective_stop_signal.SS_delay,1.0
motor_selective_stop_signal.go_acc,1.0
motor_selective_stop_signal.go_rt,-1.0
motor_selective_stop_signal.go_rt_error,-1.0
motor_selective_stop_signal.go_rt_std,1.0
motor_selective_stop_signal.go_rt_std_error,1.0
motor_selective_stop_signal.hddm_drift,1.0
motor_selective_stop_signal.hddm_drift_critical,1.0
motor_selective_stop_signal.hddm_drift_go,1.0
motor_selective_stop_signal.hddm_drift_ignore,1.0
motor_selective_stop_signal.hddm_drift_non-critical,1.0
motor_selective_stop_signal.hddm_non_decision,1.0
motor_selective_stop_signal.hddm_thresh,1.0
motor_selective_stop_signal.ignore_acc,1.0
motor_selective_stop_signal.ignore_rt_error,-1.0
motor_selective_stop_signal.ignore_rt_error_std,1.0
motor_selective_stop_signal.proactive_control_hddm_drift,1.0
motor_selective_stop_signal.proactive_control_rt,1.0
motor_selective_stop_signal.reactive_control_hddm_drift,1.0
motor_selective_stop_signal.reactive_control_rt,-1.0
motor_selective_stop_signal.stop_acc,1.0
motor_selective_stop_signal.stop_rt_error,-1.0
motor_selective_stop_signal.stop_rt_error_std,1.0
mpq_control_survey.control,1.0
probabilistic_selection.approach_trial_acc,1.0
probabilistic_selection.approach_trial_rt,-1.0
probabilistic_selection.avoid_trial_acc,1.0
probabilistic_selection.avoid_trial_rt,-1.0
probabilistic_selection.log_ll,1.0
probabilistic_selection.missed_percent,-1.0
probabilistic_selection.num_trials,1.0
probabilistic_selection.overall_test_acc,1.0
probabilistic_selection.positive_learning_bias,1.0
probabilistic_selection.value_sensitivity,1.0
psychological_refractory_period_two_choices.PRP_slope,1.0
psychological_refractory_period_two_choices.PRP_slowing,1.0
psychological_refractory_period_two_choices.log_ll,1.0
psychological_refractory_period_two_choices.missed_percent,-1.0
psychological_refractory_period_two_choices.num_trials,1.0
psychological_refractory_period_two_choices.task1_acc,1.0
psychological_refractory_period_two_choices.task2_acc,1.0
ravens.score,1.0
recent_probes.EZ_drift,1.0
recent_probes.EZ_drift_rec_neg,1.0
recent_probes.EZ_drift_rec_pos,1.0
recent_probes.EZ_drift_xrec,1.0
recent_probes.EZ_drift_xrec_neg,1.0
recent_probes.EZ_drift_xrec_pos,1.0
recent_probes.EZ_non_decision,-1.0
recent_probes.EZ_non_decision_rec_neg,-1.0
recent_probes.EZ_non_decision_rec_pos,-1.0
recent_probes.EZ_non_decision_xrec,-1.0
recent_probes.EZ_non_decision_xrec_neg,-1.0
recent_probes.EZ_non_decision_xrec_pos,-1.0
recent_probes.EZ_thresh,1.0
recent_probes.EZ_thresh_rec_neg,1.0
