worker,bis11_survey.02,bis11_survey.03,bis11_survey.04,bis11_survey.05,bis11_survey.06,bis11_survey.07,bis11_survey.08,bis11_survey.09,bis11_survey.10,bis11_survey.11,bis11_survey.12,bis11_survey.13,bis11_survey.14,bis11_survey.15,bis11_survey.16,bis11_survey.17,bis11_survey.18,bis11_survey.19,bis11_survey.20,bis11_survey.21,bis11_survey.22,bis11_survey.23,bis11_survey.24,bis11_survey.25,bis11_survey.26,bis11_survey.27,bis11_survey.28,bis11_survey.29,bis11_survey.30,bis11_survey.31,bis_bas_survey.02,bis_bas_survey.03,bis_bas_survey.04,bis_bas_survey.05,bis_bas_survey.06,bis_bas_survey.07,bis_bas_survey.08,bis_bas_survey.09,bis_bas_survey.10,bis_bas_survey.11,bis_bas_survey.12,bis_bas_survey.13,bis_bas_survey.14,bis_bas_survey.15,bis_bas_survey.16,bis_bas_survey.17,bis_bas_survey.18,bis_bas_survey.19,bis_bas_survey.20,bis_bas_survey.21,bis_bas_survey.22,bis_bas_survey.23,bis_bas_survey.24,bis_bas_survey.25,brief_self_control_survey.02,brief_self_control_survey.03,brief_self_control_survey.04,brief_self_control_survey.05,brief_self_control_survey.06,brief_self_control_survey.07,brief_self_control_survey.08,brief_self_control_survey.09,brief_self_control_survey.10,brief_self_control_survey.11,brief_self_control_survey.12,brief_self_control_survey.13,brief_self_control_survey.14,dickman_survey.02,dickman_survey.03,dickman_survey.04,dickman_survey.05,dickman_survey.06,dickman_survey.07,dickman_survey.08,dickman_survey.09,dickman_survey.10,dickman_survey.11,dickman_survey.12,dickman_survey.13,dickman_survey.14,dickman_survey.15,dickman_survey.16,dickman_survey.17,dickman_survey.18,dickman_survey.19,dickman_survey.20,dickman_survey.21,dickman_survey.22,dickman_survey.23,dickman_survey.24,dospert_eb_survey.02,dospert_eb_survey.03,dospert_eb_survey.04,dospert_eb_survey.05,dospert_eb_survey.06,dospert_eb_survey.07,dospert_eb_survey.08,dospert_eb_survey.09,dospert_eb_survey.10,dospert_eb_survey.11,dospert_eb_survey.12,dospert_eb_survey.13,dospert_eb_survey.14,dospert_eb_survey.15,dospert_eb_survey.16,dospert_eb_survey.17,dospert_eb_survey.18,dospert_eb_survey.19,dospert_eb_survey.20,dospert_eb_survey.21,dospert_eb_survey.22,dospert_eb_survey.23,dospert_eb_survey.24,dospert_eb_survey.25,dospert_eb_survey.26,dospert_eb_survey.27,dospert_eb_survey.28,dospert_eb_survey.29,dospert_eb_survey.30,dospert_eb_survey.31,dospert_rp_survey.02,dospert_rp_survey.03,dospert_rp_survey.04,dospert_rp_survey.05,dospert_rp_survey.06,dospert_rp_survey.07,dospert_rp_survey.08,dospert_rp_survey.09,dospert_rp_survey.10,dospert_rp_survey.11,dospert_rp_survey.12,dospert_rp_survey.13,dospert_rp_survey.14,dospert_rp_survey.15,dospert_rp_survey.16,dospert_rp_survey.17,dospert_rp_survey.18,dospert_rp_survey.19,dospert_rp_survey.20,dospert_rp_survey.21,dospert_rp_survey.22,dospert_rp_survey.23,dospert_rp_survey.24,dospert_rp_survey.25,dospert_rp_survey.26,dospert_rp_survey.27,dospert_rp_survey.28,dospert_rp_survey.29,dospert_rp_survey.30,dospert_rp_survey.31,dospert_rt_survey.02,dospert_rt_survey.03,dospert_rt_survey.04,dospert_rt_survey.05,dospert_rt_survey.06,dospert_rt_survey.07,dospert_rt_survey.08,dospert_rt_survey.09,dospert_rt_survey.10,dospert_rt_survey.11,dospert_rt_survey.12,dospert_rt_survey.13,dospert_rt_survey.14,dospert_rt_survey.15,dospert_rt_survey.16,dospert_rt_survey.17,dospert_rt_survey.18,dospert_rt_survey.19,dospert_rt_survey.20,dospert_rt_survey.21,dospert_rt_survey.22,dospert_rt_survey.23,dospert_rt_survey.24,dospert_rt_survey.25,dospert_rt_survey.26,dospert_rt_survey.27,dospert_rt_survey.28,dospert_rt_survey.29,dospert_rt_survey.30,dospert_rt_survey.31,eating_survey.02,eating_survey.03,eating_survey.04,eating_survey.05,eating_survey.06,eating_survey.07,eating_survey.08,eating_survey.09,eating_survey.10,eating_survey.11,eating_survey.12,eating_survey.13,eating_survey.14,eating_survey.15,eating_survey.16,eating_survey.17,eating_survey.18,eating_survey.19,erq_survey.02,erq_survey.03,erq_survey.04,erq_survey.05,erq_survey.06,erq_survey.07,erq_survey.08,erq_survey.09,erq_survey.10,erq_survey.11,five_facet_mindfulness_survey.02,five_facet_mindfulness_survey.03,five_facet_mindfulness_survey.04,five_facet_mindfulness_survey.05,five_facet_mindfulness_survey.06,five_facet_mindfulness_survey.07,five_facet_mindfulness_survey.08,five_facet_mindfulness_survey.09,five_facet_mindfulness_survey.10,five_facet_mindfulness_survey.11,five_facet_mindfulness_survey.12,five_facet_mindfulness_survey.13,five_facet_mindfulness_survey.14,five_facet_mindfulness_survey.15,five_facet_mindfulness_survey.16,five_facet_mindfulness_survey.17,five_facet_mindfulness_survey.18,five_facet_mindfulness_survey.19,five_facet_mindfulness_survey.20,five_facet_mindfulness_survey.21,five_facet_mindfulness_survey.22,five_facet_mindfulness_survey.23,five_facet_mindfulness_survey.24,five_facet_mindfulness_survey.25,five_facet_mindfulness_survey.26,five_facet_mindfulness_survey.27,five_facet_mindfulness_survey.28,five_facet_mindfulness_survey.29,five_facet_mindfulness_survey.30,five_facet_mindfulness_survey.31,five_facet_mindfulness_survey.32,five_facet_mindfulness_survey.33,five_facet_mindfulness_survey.34,five_facet_mindfulness_survey.35,five_facet_mindfulness_survey.36,five_facet_mindfulness_survey.37,five_facet_mindfulness_survey.38,five_facet_mindfulness_survey.39,five_facet_mindfulness_survey.40,future_time_perspective_survey.02,future_time_perspective_survey.03,future_time_perspective_survey.04,future_time_perspective_survey.05,future_time_perspective_survey.06,future_time_perspective_survey.07,future_time_perspective_survey.08,future_time_perspective_survey.09,future_time_perspective_survey.10,future_time_perspective_survey.11,grit_scale_survey.02,grit_scale_survey.03,grit_scale_survey.04,grit_scale_survey.05,grit_scale_survey.06,grit_scale_survey.07,grit_scale_survey.08,grit_scale_survey.09,impulsive_venture_survey.02,impulsive_venture_survey.03,impulsive_venture_survey.04,impulsive_venture_survey.05,impulsive_venture_survey.06,impulsive_venture_survey.07,impulsive_venture_survey.08,impulsive_venture_survey.09,impulsive_venture_survey.10,impulsive_venture_survey.11,impulsive_venture_survey.12,impulsive_venture_survey.13,impulsive_venture_survey.14,impulsive_venture_survey.15,impulsive_venture_survey.16,impulsive_venture_survey.17,impulsive_venture_survey.18,impulsive_venture_survey.19,impulsive_venture_survey.20,impulsive_venture_survey.21,impulsive_venture_survey.22,impulsive_venture_survey.23,impulsive_venture_survey.24,impulsive_venture_survey.25,impulsive_venture_survey.26,impulsive_venture_survey.27,impulsive_venture_survey.28,impulsive_venture_survey.29,impulsive_venture_survey.30,impulsive_venture_survey.31,impulsive_venture_survey.32,impulsive_venture_survey.33,impulsive_venture_survey.34,impulsive_venture_survey.35,leisure_time_activity_survey.02,mindful_attention_awareness_survey.02,mindful_attention_awareness_survey.03,mindful_attention_awareness_survey.04,mindful_attention_awareness_survey.05,mindful_attention_awareness_survey.06,mindful_attention_awareness_survey.07,mindful_attention_awareness_survey.08,mindful_attention_awareness_survey.09,mindful_attention_awareness_survey.10,mindful_attention_awareness_survey.11,mindful_attention_awareness_survey.12,mindful_attention_awareness_survey.13,mindful_attention_awareness_survey.14,mindful_attention_awareness_survey.15,mindful_attention_awareness_survey.16,mpq_control_survey.02,mpq_control_survey.03,mpq_control_survey.04,mpq_control_survey.05,mpq_control_survey.06,mpq_control_survey.07,mpq_control_survey.08,mpq_control_survey.09,mpq_control_survey.10,mpq_control_survey.11,mpq_control_survey.12,mpq_control_survey.13,mpq_control_survey.14,mpq_control_survey.15,mpq_control_survey.16,mpq_control_survey.17,mpq_control_survey.18,mpq_control_survey.19,mpq_control_survey.20,mpq_control_survey.21,mpq_control_survey.22,mpq_control_survey.23,mpq_control_survey.24,mpq_control_survey.25,selection_optimization_compensation_survey.02,selection_optimization_compensation_survey.03,selection_optimization_compensation_survey.04,selection_optimization_compensation_survey.05,selection_optimization_compensation_survey.06,selection_optimization_compensation_survey.07,selection_optimization_compensation_survey.08,selection_optimization_compensation_survey.09,selection_optimization_compensation_survey.10,selection_optimization_compensation_survey.11,selection_optimization_compensation_survey.12,selection_optimization_compensation_survey.13,selection_optimization_compensation_survey.14,selection_optimization_compensation_survey.15,selection_optimization_compensation_survey.16,selection_optimization_compensation_survey.17,selection_optimization_compensation_survey.18,selection_optimization_compensation_survey.19,selection_optimization_compensation_survey.20,selection_optimization_compensation_survey.21,selection_optimization_compensation_survey.22,selection_optimization_compensation_survey.23,selection_optimization_compensation_survey.24,selection_optimization_compensation_survey.25,selection_optimization_compensation_survey.26,selection_optimization_compensation_survey.27,selection_optimization_compensation_survey.28,selection_optimization_compensation_survey.29,selection_optimization_compensation_survey.30,selection_optimization_compensation_survey.31,selection_optimization_compensation_survey.32,selection_optimization_compensation_survey.33,selection_optimization_compensation_survey.34,selection_optimization_compensation_survey.35,selection_optimization_compensation_survey.36,selection_optimization_compensation_survey.37,selection_optimization_compensation_survey.38,selection_optimization_compensation_survey.39,selection_optimization_compensation_survey.40,selection_optimization_compensation_survey.41,selection_optimization_compensation_survey.42,selection_optimization_compensation_survey.43,selection_optimization_compensation_survey.44,selection_optimization_compensation_survey.45,selection_optimization_compensation_survey.46,selection_optimization_compensation_survey.47,selection_optimization_compensation_survey.48,selection_optimization_compensation_survey.49,self_regulation_survey.02,self_regulation_survey.03,self_regulation_survey.04,self_regulation_survey.05,self_regulation_survey.06,self_regulation_survey.07,self_regulation_survey.08,self_regulation_survey.09,self_regulation_survey.10,self_regulation_survey.11,self_regulation_survey.12,self_regulation_survey.13,self_regulation_survey.14,self_regulation_survey.15,self_regulation_survey.16,self_regulation_survey.17,self_regulation_survey.18,self_regulation_survey.19,self_regulation_survey.20,self_regulation_survey.21,self_regulation_survey.22,self_regulation_survey.23,self_regulation_survey.25,self_regulation_survey.26,self_regulation_survey.27,self_regulation_survey.28,self_regulation_survey.29,self_regulation_survey.30,self_regulation_survey.31,self_regulation_survey.32,sensation_seeking_survey.02,sensation_seeking_survey.03,sensation_seeking_survey.04,sensation_seeking_survey.05,sensation_seeking_survey.06,sensation_seeking_survey.07,sensation_seeking_survey.08,sensation_seeking_survey.09,sensation_seeking_survey.11,sensation_seeking_survey.12,sensation_seeking_survey.13,sensation_seeking_survey.14,sensation_seeking_survey.15,sensation_seeking_survey.16,sensation_seeking_survey.17,sensation_seeking_survey.18,sensation_seeking_survey.19,sensation_seeking_survey.20,sensation_seeking_survey.21,sensation_seeking_survey.22,sensation_seeking_survey.23,sensation_seeking_survey.24,sensation_seeking_survey.25,sensation_seeking_survey.26,sensation_seeking_survey.27,sensation_seeking_survey.28,sensation_seeking_survey.29,sensation_seeking_survey.30,sensation_seeking_survey.31,sensation_seeking_survey.32,sensation_seeking_survey.33,sensation_seeking_survey.34,sensation_seeking_survey.35,sensation_seeking_survey.36,sensation_seeking_survey.37,sensation_seeking_survey.38,sensation_seeking_survey.39,sensation_seeking_survey.40,sensation_seeking_survey.41,ten_item_personality_survey.03,ten_item_personality_survey.04,ten_item_personality_survey.05,ten_item_personality_survey.06,ten_item_personality_survey.07,ten_item_personality_survey.08,ten_item_personality_survey.09,ten_item_personality_survey.10,ten_item_personality_survey.11,ten_item_personality_survey.12,theories_of_willpower_survey.02,theories_of_willpower_survey.03,theories_of_willpower_survey.04,theories_of_willpower_survey.05,theories_of_willpower_survey.06,theories_of_willpower_survey.07,theories_of_willpower_survey.08,theories_of_willpower_survey.09,theories_of_willpower_survey.10,theories_of_willpower_survey.11,theories_of_willpower_survey.12,theories_of_willpower_survey.13,time_perspective_survey.02,time_perspective_survey.03,time_perspective_survey.04,time_perspective_survey.05,time_perspective_survey.06,time_perspective_survey.07,time_perspective_survey.08,time_perspective_survey.09,time_perspective_survey.10,time_perspective_survey.11,time_perspective_survey.12,time_perspective_survey.13,time_perspective_survey.14,time_perspective_survey.15,time_perspective_survey.16,time_perspective_survey.17,time_perspective_survey.18,time_perspective_survey.19,time_perspective_survey.20,time_perspective_survey.21,time_perspective_survey.22,time_perspective_survey.23,time_perspective_survey.24,time_perspective_survey.25,time_perspective_survey.26,time_perspective_survey.27,time_perspective_survey.28,time_perspective_survey.29,time_perspective_survey.30,time_perspective_survey.31,time_perspective_survey.32,time_perspective_survey.33,time_perspective_survey.34,time_perspective_survey.35,time_perspective_survey.36,time_perspective_survey.37,time_perspective_survey.38,time_perspective_survey.39,time_perspective_survey.40,time_perspective_survey.41,time_perspective_survey.42,time_perspective_survey.43,time_perspective_survey.44,time_perspective_survey.45,time_perspective_survey.46,time_perspective_survey.47,time_perspective_survey.48,time_perspective_survey.49,time_perspective_survey.50,time_perspective_survey.51,time_perspective_survey.52,time_perspective_survey.53,time_perspective_survey.54,time_perspective_survey.55,time_perspective_survey.56,time_perspective_survey.57,upps_impulsivity_survey.02,upps_impulsivity_survey.03,upps_impulsivity_survey.04,upps_impulsivity_survey.05,upps_impulsivity_survey.06,upps_impulsivity_survey.07,upps_impulsivity_survey.08,upps_impulsivity_survey.09,upps_impulsivity_survey.10,upps_impulsivity_survey.11,upps_impulsivity_survey.12,upps_impulsivity_survey.13,upps_impulsivity_survey.14,upps_impulsivity_survey.15,upps_impulsivity_survey.16,upps_impulsivity_survey.17,upps_impulsivity_survey.18,upps_impulsivity_survey.19,upps_impulsivity_survey.20,upps_impulsivity_survey.21,upps_impulsivity_survey.22,upps_impulsivity_survey.23,upps_impulsivity_survey.24,upps_impulsivity_survey.25,upps_impulsivity_survey.26,upps_impulsivity_survey.27,upps_impulsivity_survey.28,upps_impulsivity_survey.29,upps_impulsivity_survey.30,upps_impulsivity_survey.31,upps_impulsivity_survey.32,upps_impulsivity_survey.33,upps_impulsivity_survey.34,upps_impulsivity_survey.35,upps_impulsivity_survey.36,upps_impulsivity_survey.37,upps_impulsivity_survey.38,upps_impulsivity_survey.39,upps_impulsivity_survey.40,upps_impulsivity_survey.41,upps_impulsivity_survey.42,upps_impulsivity_survey.43,upps_impulsivity_survey.44,upps_impulsivity_survey.45,upps_impulsivity_survey.46,upps_impulsivity_survey.47,upps_impulsivity_survey.48,upps_impulsivity_survey.49,upps_impulsivity_survey.50,upps_impulsivity_survey.51,upps_impulsivity_survey.52,upps_impulsivity_survey.53,upps_impulsivity_survey.54,upps_impulsivity_survey.55,upps_impulsivity_survey.56,upps_impulsivity_survey.57,upps_impulsivity_survey.58,upps_impulsivity_survey.59,upps_impulsivity_survey.60
s005,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,4.0,7.0,5.0,7.0,6.0,5.0,7.0,7.0,5.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,5.0,4.0,2.0,7.0,7.0,7.0,5.0,5.0,7.0,2.0,5.0,4.0,1.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,6.0,3.0,6.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,5.0,7.0,6.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,6.0,7.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,6.0,7.0,6.0,2.0,6.0,5.0,7.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0
s007,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,4.0,7.0,1.0,4.0,6.0,4.0,1.0,2.0,1.0,7.0,5.0,4.0,6.0,1.0,1.0,7.0,6.0,1.0,7.0,6.0,2.0,5.0,4.0,5.0,4.0,7.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,6.0,4.0,6.0,7.0,4.0,6.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,2.0,1.0,5.0,1.0,6.0,3.0,2.0,5.0,1.0,3.0,6.0,3.0,1.0,1.0,2.0,6.0,5.0,2.0,7.0,5.0,1.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,1.0,5.0,7.0,6.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,6.0,7.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,7.0,6.0,6.0,5.0,4.0,7.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,7.0,2.0,6.0,4.0,5.0,5.0,6.0,4.0,6.0,6.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,5.0,2.0,3.0,1.0,2.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0
