"","breaks","acc_icc","avg_rt_icc","conceptual_responses_icc","fail_to_maintain_set_icc","learning_rate_icc","learning_to_learn_icc","nonperseverative_errors_icc","perseverative_errors_icc","perseverative_responses_icc","total_errors_icc"
"1",0,-0.0086563581535443,0.523417516011672,0.0340736120356198,-0.117537313432836,-0.189417457107142,-0.189417457107141,0.0215059067255276,NA,0.0676031215161627,0.0215059067255276
"2",1,0.0578190860218272,0.536711888871385,0.0771337257972132,0.0785607667530818,0.185779756255815,0.1668020617547,0.205200479176941,-0.0598065727218522,0.0461518679905706,0.106501644204964
"3",2,0.022548098872295,0.547322547283233,-0.00448451806807795,-0.0203746674967462,-0.0225285717927408,0.0083049006546449,0.0902320605661605,-0.0294218151995608,0.222557315467431,0.0885384073842304
"4",3,0.137838897865682,0.604896611635511,0.144831260898051,0.0187222860896719,-0.0318567254272413,0.0525173340948333,0.124148156451338,0.010213793516036,0.0221657789833331,0.209550453365322
"5",4,0.0691923728204762,0.635179925523159,0.122024671673531,-0.0138136907723383,0.228434534617623,0.0997812756388944,0.122660764238404,0.0611603587290265,0.173804503125813,0.131771757178148
"6",5,0.00377532175901521,0.663257768198691,0.0571096189660611,-0.119799208417801,0.199565610964912,0.14192937296425,0.0220250677794498,-0.248232859302177,0.104109381653024,0.0621742283358166
"7",6,-0.0285174770115919,0.666967463014171,0.0749919084776728,-0.0284928576884904,0.0469150728304208,0.180656209892185,0.106264089355843,-0.373471534574895,0.146721857797822,0.0235549516341693
"8",7,0.0211509766968425,0.669184322626289,0.195584618262961,0.0734158241690991,0.059515678748898,0.178012915293826,0.167646541486938,-0.138927022901936,0.0257519297311694,0.0815366977191129
"9",8,0.114497415623449,0.669843271653119,0.238708268302212,0.188180840619008,0.0905998206743397,0.19253838136671,0.262249148009549,0.0234254752042835,0.0432022373328124,0.170972444504933
"10",9,0.174483841243323,0.657814035974211,0.263908440047787,0.295989756722151,0.177883886522553,0.091939008075267,0.354590604400783,-0.0227429072569456,0.129916090125836,0.225959493640811
"11",10,0.235903888968172,0.654890904409815,0.256515801227145,0.335443724901414,0.11601254911158,0.0140515336855272,0.366072123442258,0.023673954646273,0.243214704049009,0.245036390402761
"12",11,0.226391353481516,0.667238769440449,0.280000113006937,0.283815009544221,0.0888520764122004,0.00538208632727236,0.390213421436877,0.0390362067367188,0.375289435421263,0.224100360750717
"13",12,0.221580076617919,0.673779562519848,0.296869062535659,0.295361713715167,0.182383104344776,-0.00625694894348287,0.388786685035494,-0.031275842361715,0.269879790002201,0.24602052793402
"14",13,0.178765670088353,0.682994070355051,0.287196571374108,0.284377625213639,0.205559659894508,-0.0763396620064187,0.291127602485127,0.0125673765334935,0.267460199066126,0.235051962596359
"15",14,0.157469317970248,0.683690291465809,0.265218447022244,0.204369902230866,0.210216378008063,0.0456906070311701,0.225678732528942,0.0998030737417285,0.226561377500482,0.223065029799268
"16",15,0.183720891284363,0.687806381412879,0.280094079178687,0.140297682904112,0.11698031642154,0.0880118967425535,0.300489298982176,0.143411561556859,0.351057694434052,0.249603860841021
"17",16,0.22038019869614,0.689084438268671,0.328263831798523,0.123246492985973,0.197562844720708,0.0908026334108191,0.372907277913194,0.232246260910081,0.358058429930052,0.296004650475594
"18",17,0.227221208751726,0.692121682107041,0.358585187258244,0.170158573658698,0.22348752614804,0.0383149590564973,0.402344088249255,0.202996487591409,0.376717618360061,0.302081516314011
"19",18,0.215939765364868,0.701567342464477,0.373977158122902,0.134443886808477,0.316048980971887,0.0257989678407399,0.389353957637046,0.187597923781872,0.380441090085774,0.301573420478868
"20",19,0.19855550270162,0.708920907786454,0.343354913932547,0.135602399036054,0.361567478149718,0.0282754438275902,0.386608027372116,0.229854690047054,0.401686852618876,0.292174421747645
"21",20,0.209186315814332,0.706251847473,0.355980545703623,0.191447267098161,0.41142783644638,0.0461446573772602,0.411173082977344,0.264443202294103,0.365950979102988,0.303485345166576
"22",21,0.192775793529288,0.712773419880558,0.345029609464498,0.187032503611722,0.387182584780611,0.0816705650655133,0.371919183640014,0.219008332850629,0.372516353480168,0.281882176749966
"23",22,0.180511094862075,0.707434755413831,0.35002344686868,0.196368574554691,0.349133823104617,0.0748565315255279,0.357152282891398,0.183347313071826,0.403331105158501,0.25966165947318
"24",23,0.147033855938947,0.706742454132851,0.347319085363159,0.159546118799965,0.363914432525025,0.0772947567852344,0.363413911030399,0.205331548434467,0.386872574004397,0.231026405896307
"25",24,0.155518181377951,0.709136388584764,0.364308533482866,0.152546636058851,0.386973441105675,0.0929719662947727,0.372464589216935,0.174130585323707,0.372333344117988,0.234173257062352
"26",25,0.197135174992892,0.707872120736382,0.404424425924494,0.117558059437119,0.35590698630905,0.130288006123994,0.377614985154658,0.199920364920994,0.39827016956116,0.273591863601619
"27",26,0.266040208065686,0.705630538124253,0.45392685368984,0.159188316538166,0.368687360610198,0.161838821222675,0.429825680764688,0.163521374386777,0.400893243350017,0.327692969458594
"28",27,0.310315987922977,0.704860784243278,0.481444089912245,0.195609269555622,0.417210491609688,0.134037512225234,0.466214008205948,0.19459483118878,0.451138409877129,0.367452721102385
"29",28,0.324090059276474,0.704671514362078,0.498037406726674,0.222285565690511,0.40861339344432,-0.00606040987974423,0.474773688100129,0.231761911415398,0.430937386320199,0.372886598665752
"30",29,0.336077635927682,0.706622831171697,0.498094493415382,0.249676569034609,0.379121492808455,-0.0555846904027951,0.479796356073305,0.211126906961341,0.400236479453008,0.385028773924299
"31",30,0.357995481955466,0.706250028656672,0.505411410952405,0.272240556061967,0.388724338101036,-0.0404971727885165,0.536748429390917,0.233936812513975,0.418801948922258,0.397409814074908
"32",31,0.380930093394614,0.710550237583235,0.517908753538906,0.2788737555732,0.399444847221578,-0.0503009919182161,0.556008168840652,0.216135801281337,0.406820876858067,0.408193593255788
"33",32,0.393264277695273,0.712402416873042,0.518404859546016,0.279190449351848,0.365067120171324,-0.0698284531575819,0.528341198812031,0.141557496323836,0.34286721447753,0.415711876260344
"34",33,0.391215401541008,0.712558908038406,0.514120896328983,0.295837351493762,0.344708526198526,-0.0282949776388572,0.554336463615593,0.150173437125359,0.419424993407378,0.408836875324267
"35",34,0.423827651750704,0.713246863228595,0.536125501117691,0.337786029101009,0.343186328444096,0.0215206547113179,0.588518963718138,0.141822775062575,0.44009527721794,0.434711729492115
"36",35,0.464908753773866,0.714824749980278,0.562370790954126,0.34804508278476,0.354062010222012,0.0313046034723569,0.586897480800973,0.150647452235698,0.35710200917536,0.46637823137824
"37",36,0.495008994234701,0.716052350413238,0.584586127804972,0.404870354169559,0.352567272713633,0.0708197446363337,0.599887384658769,0.16264855154612,0.381457561685124,0.498617267483528
"38",37,0.499742501447398,0.715371291807208,0.585631972772943,0.444022734686708,0.368402544403152,0.0684710264622887,0.592725659515447,0.181214896889258,0.387962582466529,0.49958867765703
